stage,class,mAP50,precision,recall
FP32,crazing,0.411,0.434,0.278
FP32,inclusion,0.818,0.727,0.776
FP32,patches,0.928,0.795,0.86
FP32,pitted_surface,0.788,0.744,0.717
FP32,rolled-in_scale,0.632,0.636,0.522
FP32,scratches,0.838,0.535,0.846
FP16,crazing,0.346,0.42,0.215
FP16,inclusion,0.771,0.652,0.697
FP16,patches,0.923,0.792,0.887
FP16,pitted_surface,0.784,0.822,0.704
FP16,rolled-in_scale,0.61,0.694,0.494
FP16,scratches,0.825,0.564,0.844
INT8,crazing,0.345,0.438,0.316
INT8,inclusion,0.641,0.506,0.764
INT8,patches,0.917,0.751,0.879
INT8,pitted_surface,0.566,0.601,0.543
INT8,rolled-in_scale,0.574,0.533,0.595
INT8,scratches,0.763,0.384,0.859
